word,count_0,weight_0,count_1,weight_1,count_2,weight_2,count_3,weight_3,total,total-weight
rdds,3,0.145,1,0.048,0,"",0,"",4,""
availability,2,0.097,1,0.048,0,"",1,0.091,4,""
hands,1,0.048,2,0.097,1,0.071,0,"",4,""
client,1,0.048,3,0.146,0,"",0,"",4,""
operations,1,0.048,2,0.097,1,0.071,0,"",4,""
unit,0,"",3,0.146,0,"",1,0.091,4,""
flume.,2,0.097,1,0.048,0,"",1,0.091,4,""
summary,1,0.048,1,0.048,1,0.071,1,0.091,4,0.391
southern,1,0.048,0,"",3,0.213,0,"",4,""
sets,1,0.048,2,0.097,1,0.071,0,"",4,""
linux,2,0.097,1,0.048,1,0.071,0,"",4,""
converting,2,0.097,2,0.097,0,"",0,"",4,""
orc,0,"",2,0.097,1,0.071,1,0.091,4,""
optimize,1,0.048,0,"",1,0.071,2,0.182,4,""
connect,3,0.145,1,0.048,0,"",0,"",4,""
convert,0,"",4,0.195,0,"",0,"",4,""
regular,2,0.097,1,0.048,1,0.071,0,"",4,""
2015,2,0.097,2,0.097,0,"",0,"",4,""
clusters.,2,0.097,0,"",1,0.071,1,0.091,4,""
buckets,2,0.097,0,"",0,"",2,0.182,4,""
planning,2,0.097,0,"",2,0.142,0,"",4,""
scalable,1,0.048,1,0.048,1,0.071,1,0.091,4,0.391
flow,3,0.145,1,0.048,0,"",0,"",4,""
s3.,1,0.048,1,0.048,1,0.071,1,0.091,4,0.391
broker,1,0.048,0,"",0,"",3,0.274,4,""
semistructured,1,0.048,1,0.048,2,0.142,0,"",4,""
scientists,0,"",1,0.048,3,0.213,0,"",4,""
2010,2,0.097,2,0.097,0,"",0,"",4,""
azkaban,4,0.194,0,"",0,"",0,"",4,""
hadoop.,1,0.048,2,0.097,0,"",1,0.091,4,""
memory,2,0.097,0,"",0,"",2,0.182,4,""
disparate,1,0.048,1,0.048,2,0.142,0,"",4,""
udfs,0,"",2,0.097,1,0.071,1,0.091,4,""
ny,1,0.048,0,"",3,0.213,0,"",4,""
risk,1,0.048,3,0.146,0,"",0,"",4,""
version,1,0.048,0,"",1,0.071,2,0.182,4,""
executed,3,0.145,1,0.048,0,"",0,"",4,""
instances,2,0.097,1,0.048,1,0.071,0,"",4,""
transform,2,0.097,0,"",1,0.071,1,0.091,4,""
distribution,0,"",2,0.097,1,0.071,1,0.091,4,""
input,0,"",1,0.048,1,0.071,1,0.091,3,""
expertise,2,0.097,1,0.048,0,"",0,"",3,""
include,0,"",2,0.097,0,"",1,0.091,3,""
joins,2,0.097,1,0.048,0,"",0,"",3,""
instance,2,0.097,1,0.048,0,"",0,"",3,""
metadata,1,0.048,0,"",0,"",2,0.182,3,""
present,1,0.048,1,0.048,0,"",1,0.091,3,""
analysts,0,"",1,0.048,2,0.142,0,"",3,""
il,1,0.048,0,"",0,"",2,0.182,3,""
set,1,0.048,1,0.048,1,0.071,0,"",3,""
hql,0,"",1,0.048,1,0.071,1,0.091,3,""
postgresql,1,0.048,0,"",1,0.071,1,0.091,3,""
tasks.,1,0.048,1,0.048,0,"",1,0.091,3,""
