learne,1,"",""
least,5,3,39
leather,2,"",1
leaue,19,27,""
led,3,"",68
left,6,4,348
legacie,1,"",""
legacies,1,"",""
legges,1,"",""
legions,4,"",1
lena,2,"",""
lend,2,4,16
lep,3,"",""
lepidus,8,"",""
lesse,6,7,""
let,71,104,1511
lethee,1,"",""
letter,2,3,37
letters,7,7,34
leuying,1,"",""
leysure,1,2,""
liable,1,"",""
liberties,1,"",""
liberty,4,4,27
liefe,1,"",""
lies,4,4,51
life,12,33,450
lift,1,"",104
ligarius,9,"",""
light,5,8,272
lighted,1,1,13
lightens,1,"",""
lightning,3,"",13
lights,1,4,10
like,39,80,669
likes,1,3,""
limbe,1,"",""
limbes,3,2,""
limitation,1,"",""
lines,1,3,2
linkes,1,"",""
lionnesse,1,"",""
lippes,2,1,""
lips,1,"",119
list,1,6,""
listen,2,"",1
litter,1,"",""
little,5,13,242
liu,2,1,""
liue,18,15,""
liued,1,3,""
liues,2,3,""
liuing,4,2,""
load,1,1,""
loads,1,"",""
loath,1,1,""
locke,1,3,""
lodge,1,1,27
loe,2,3,""
lofty,1,1,8
loines,1,1,""
long,6,17,212
look,5,7,156
looke,27,31,""
lookes,6,7,""
looking,1,"",30
loose,3,5,29
loosing,1,1,4
lord,44,211,7964
lordship,1,6,2
lose,1,4,24
losse,1,1,""
losses,1,"",""
lost,2,8,33
lottery,1,"",""
lou,6,4,""
loue,34,66,""
loued,2,3,""
louer,2,1,""
louers,2,"",""
loues,8,6,""
louest,1,"",""
louing,1,3,""
low,4,1,46
lowd,1,2,""
lowe,2,"",""
lowest,1,1,11
lowly,1,"",6
lowlynesse,1,"",""
luc,28,"",""
lucil,6,"",""
lucillius,14,"",""
lucius,26,"",2
lupercall,2,"",""
lustre,1,"",""
lusty,2,"",1
ly,1,1,""
lyable,1,"",""
lye,9,8,""
lyes,2,2,""
lying,1,1,57
lyon,3,"",""
lyons,2,"",""
mace,1,"",""
mad,2,21,22
madam,5,12,""
made,17,29,1405
madman,1,"",""
madmen,1,"",1
maiesticke,1,"",""
maine,1,3,""
maisters,1,"",""
mak,1,"",""
makes,3,16,""
making,1,5,30
malice,1,"",6
man,59,46,2735
manet,4,3,""
manner,3,1,196
