blms_id,blms_parcel,blms_loc_no,blms_loc_street,blms_dba,bldt_lic_text2,bldt_lic_text3,bldt_lic_text6,bldt_lic_text7,xcoord,ycoord,geom
10475,229647064,85,NEW BRITAIN AV,BAKER'S CAFE,FOOD - CLASS 2,CAFE',SEATING CAPACITY = 30,LIQUOR,1017502,832456,"(41.745731931059, -72.685865724538)"
17268,179318017,306,FARMINGTON AV,LITTLE CAESARS - HARTFORD,FOOD - CLASS 3,,DESIG ALT = MARLON WILLIAMS,,1013957,840552,"(41.767956121504, -72.698838443743)"
11931,210005010,289,FRANKLIN AV,EL BAJIO RESTAURANT,FOOD - CLASS 4,FOOD SERVICE,,,1020048,831274,"(41.742482618479, -72.676539856958)"
17032,179318016,316,FARMINGTON AV,NEIGHBORHOOD SUPERMARKET,FOOD - CLASS 2,,,,1013750,840558,"(41.767972920954, -72.69959722115)"
17578,276686074,641,WETHERSFIELD AV,DOLLAR GENERAL STORE 16104,FOOD - CLASS 1,,,,1021372,829763,"(41.738332802422, -72.671693458878)"
15973,245333007,28,HIGH ST,EL CAMPA LLC,FOOD - CLASS 2,,,,1019056,840603,"(41.768086280908, -72.680147121504)"
10404,268350014,40,TEMPLE ST,SAIGON KITCHEN,FOOD - CLASS 3,RESTAURANT,,,1021044,840509,"(41.767823679494, -72.672860094432)"
15685,269346002,811,MAIN ST,BURGER KING 12370,FOOD - CLASS 4,,,,1020872,840007,"(41.766446473727, -72.673492214832)"
10080,269346002,21,ASYLUM ST,DUNKIN DONUTS,FOOD - CLASS 3,DONUT SHOP,SEATING CAPACITY 6,,1020872,840007,"(41.766446473727, -72.673492214832)"
11325,269077029,200,COLUMBUS BLVD,HARTFORD MARRIOTT DOWNTOWN/L BAR,FOOD - CLASS 2,LOUNGE,,LIQUOR,1021966,839077,"(41.763891569808, -72.669485259044)"
10939,245338094,1,CIVIC CENTER PLAZA,STAND 3,FOOD - CLASS 4,SNACK BAR,SEATING CAPACITY 15000,LIQUOR,1020084,840394,"(41.767510385961, -72.676379474519)"
10288,230660177,738,MAPLE AV,DOMINO'S PIZZA,FOOD - CLASS 3,RESTAURANT,,,1017962,830288,"(41.739781360616, -72.684186154308)"
16975,200266187,211,GARDEN ST,KENT PIZZA,FOOD - CLASS 4,,,,1017083,842628,"(41.77364758198, -72.687374092607)"
